tanggal_cuaca,suhu,kelembaban,kecepatan_angin,curah_hujan,radiasi_matahari
2018-12-31,25.581251,86.50751,20.037485,5.8999996,8.05
2019-01-01,26.720833,80.44666,21.129885,2.3000002,17.72
2019-01-02,26.347914,80.550316,22.253124,9.000001,12.51
2019-01-03,27.724998,69.315834,15.192682,0.1,24.74
2019-01-04,27.522917,75.463394,10.931203,0.8,22.63
2019-01-05,27.86458,79.93357,11.928989,0.8000001,24.51
2019-01-06,27.210413,84.11584,11.27553,6.8,21.85
2019-01-07,26.800003,86.00489,9.3669195,21.2,20.22
2019-01-08,26.479164,87.2901,11.659777,8.3,19.02
2019-01-09,26.856249,85.65049,11.753877,7.0999994,19.46
2019-01-10,27.285416,83.107506,14.20062,3.4999998,21.69
2019-01-11,27.097918,85.12877,12.879752,5.2999997,19.13
2019-01-12,26.097914,89.96417,11.304229,15.199999,14.07
2019-01-13,25.775002,89.938835,11.983188,15.000002,12.11
2019-01-14,26.585419,84.16645,16.595179,5.2,14.57
2019-01-15,26.574999,82.513664,17.555305,7.8,14.61
2019-01-16,26.25,85.41392,17.026896,5.8,15.56
2019-01-17,26.637503,85.0949,18.448023,5.8999996,13.82
2019-01-18,26.581255,85.00576,13.570615,1.4000001,15.56
2019-01-19,26.925001,84.26306,14.512064,6.0,17.26
2019-01-20,25.985418,88.84031,14.277983,9.300002,12.33
2019-01-21,25.074999,92.28423,13.089354,16.1,6.52
2019-01-22,25.691668,86.17532,12.984975,6.1,11.41
2019-01-23,26.383333,86.64683,14.480773,6.8999996,16.86
2019-01-24,24.945831,92.04113,11.620809,10.000001,8.0
2019-01-25,26.581247,86.78082,17.309975,4.6,19.57
2019-01-26,25.604166,90.431694,17.992796,17.5,11.3
2019-01-27,26.277082,86.93664,18.668005,6.1000004,19.35
2019-01-28,26.220835,87.25025,11.298495,10.699999,14.44
2019-01-29,25.943747,87.197105,15.716793,26.7,17.26
2019-01-30,26.760414,82.74369,13.37825,5.8999996,18.23
2019-01-31,26.089584,86.83347,13.246826,8.9,19.53
